Time	Sum	Command
1901	29462	> builtin source /usr/local/Cellar/fish/2.7.1/share/fish/config.fish
46	46	-> set -g IFS \n\ \t
10	10	-> set -qg __fish_added_user_paths
11	11	-> or set -g __fish_added_user_paths
14	14	-> function __fish_default_command_not_found_handler...
20	20	-> set -g version $FISH_VERSION
7	391	-> if status --is-interactive...
12	12	--> status --is-interactive
6	372	--> if not contains -- "string" (builtin -n)...
202	237	---> not contains -- "string" (builtin -n)
35	35	----> builtin -n
9	129	---> if not set -q NVIM_LISTEN_ADDRESS...
8	8	----> not set -q NVIM_LISTEN_ADDRESS
6	6	----> and not set -q STY
26	26	----> and not string match -q -- 'eterm*' $TERM
14	80	----> and begin
                set -q KONSOLE_PROFILE_NAME # KDE's konsole
                or string match -q -- "*:*" $ITERM_SESSION_ID # Supporting versions of iTerm2 will include a colon here
                or string match -q -- "st-*" $TERM # suckless' st
                or test -n "$VTE_VERSION" -a "$VTE_VERSION" -ge 3600 # Should be all gtk3-vte-based terms after version 3.6.0.0
                or test "$COLORTERM" = truecolor -o "$COLORTERM" = 24bit # slang expects this
            end
7	7	-----> set -q KONSOLE_PROFILE_NAME
11	11	-----> or string match -q -- "*:*" $ITERM_SESSION_ID
12	12	-----> or string match -q -- "st-*" $TERM
21	21	-----> or test -n "$VTE_VERSION" -a "$VTE_VERSION" -ge 3600
15	15	-----> or test "$COLORTERM" = truecolor -o "$COLORTERM" = 24bit
67	67	-> set -l configdir ~/.config
6	12	-> if set -q XDG_CONFIG_HOME...
6	6	--> set -q XDG_CONFIG_HOME
26	26	-> set -l userdatadir ~/.local/share
5	11	-> if set -q XDG_DATA_HOME...
6	6	--> set -q XDG_DATA_HOME
10	10	-> set -l __extra_completionsdir
9	9	-> set -l __extra_functionsdir
9	9	-> set -l __extra_confdir
7	602	-> if test -f $__fish_datadir/__fish_build_paths.fish...
26	26	--> test -f $__fish_datadir/__fish_build_paths.fish
521	569	--> source $__fish_datadir/__fish_build_paths.fish
25	25	---> set __extra_completionsdir /usr/local/share/fish/vendor_completions.d
12	12	---> set __extra_functionsdir /usr/local/share/fish/vendor_functions.d
11	11	---> set __extra_confdir /usr/local/share/fish/vendor_conf.d
6	52	-> if not set -q fish_function_path...
6	6	--> not set -q fish_function_path
40	40	--> set fish_function_path $configdir/fish/functions $__fish_sysconfdir/functions $__extra_functionsdir $__fish_datadir/functions
6	82	-> if not contains -- $__fish_datadir/functions $fish_function_path...
76	76	--> not contains -- $__fish_datadir/functions $fish_function_path
7	71	-> if not set -q fish_complete_path...
25	25	--> not set -q fish_complete_path
39	39	--> set fish_complete_path $configdir/fish/completions $__fish_sysconfdir/completions $__extra_completionsdir $__fish_datadir/completions $userdatadir/fish/generated_completions
5	36	-> if not contains -- $__fish_datadir/completions $fish_complete_path...
31	31	--> not contains -- $__fish_datadir/completions $fish_complete_path
5	33	-> if test -d /usr/xpg4/bin...
28	28	--> test -d /usr/xpg4/bin
36	36	-> set -g __fish_tmp_path $PATH
7	7	-> function __fish_load_path_helper_paths...
26	26	-> test -r /etc/paths
363	1480	-> and __fish_load_path_helper_paths </etc/paths
48	48	--> set __fish_tmp_path $__fish_tmp_path[-1..1]
21	1033	--> while read -l new_path_comp...
